team_0,location_x_0,location_y_0,end_location_x_0,end_location_y_0,type_0,outcome_0,player_0,team_1,location_x_1,location_y_1,end_location_x_1,end_location_y_1,type_1,outcome_1,player_1,team_2,location_x_2,location_y_2,end_location_x_2,end_location_y_2,type_2,outcome_2,player_2,team_3,location_x_3,location_y_3,end_location_x_3,end_location_y_3,type_3,outcome_3,player_3,team_4,location_x_4,location_y_4,end_location_x_4,end_location_y_4,type_4,outcome_4,player_4,team_5,location_x_5,location_y_5,end_location_x_5,end_location_y_5,type_5,outcome_5,player_5,team_6,location_x_6,location_y_6,end_location_x_6,end_location_y_6,type_6,outcome_6,player_6,team_7,location_x_7,location_y_7,end_location_x_7,end_location_y_7,type_7,outcome_7,player_7,team_8,location_x_8,location_y_8,end_location_x_8,end_location_y_8,type_8,outcome_8,player_8,team_9,location_x_9,location_y_9,end_location_x_9,end_location_y_9,type_9,outcome_9,player_9,team_10,location_x_10,location_y_10,end_location_x_10,end_location_y_10,type_10,outcome_10,player_10,match_id,shot_id,shot_statsbomb_xg
Bristol City WFC,76.3,13.6,76.3,13.6,Ball Receipt*,1.0,Charlie Wellings,Bristol City WFC,76.3,13.6,85.3,19.2,Carry,1.0,Charlie Wellings,Bristol City WFC,85.3,19.2,109.3,38.9,Pass,1.0,Charlie Wellings,Tottenham Hotspur Women,107.7,42.4,107.7,42.4,Pressure,1.0,Siri Worm,Bristol City WFC,109.3,38.9,109.3,38.9,Ball Receipt*,1.0,Abigail Harrison,Bristol City WFC,109.3,38.9,109.3,38.5,Carry,1.0,Abigail Harrison,Bristol City WFC,109.3,38.5,108.4,47.4,Pass,1.0,Abigail Harrison,Bristol City WFC,108.4,47.4,108.4,47.4,Ball Receipt*,1.0,Georgia Wilson,Bristol City WFC,108.4,47.4,110.1,41.6,Carry,1.0,Georgia Wilson,Tottenham Hotspur Women,110.7,46.1,110.7,46.1,Pressure,1.0,Josie Green,Bristol City WFC,110.1,41.6,112.0,41.4,Shot,0.0,Georgia Wilson,2275033,0006c5eb-7d26-460d-b073-341302cac818,0.09400439
Tottenham Hotspur Women,63.2,63.1,63.2,63.1,Duel,0.0,Siri Worm,Reading WFC,63.3,63.2,78.3,74.5,Pass,1.0,Angharad James,Reading WFC,78.3,74.5,78.3,74.5,Ball Receipt*,1.0,Brooke Chaplen,Reading WFC,78.3,74.5,89.4,62.9,Carry,1.0,Brooke Chaplen,Tottenham Hotspur Women,63.2,62.5,63.2,62.5,Block,0.0,Siri Worm,Reading WFC,89.4,62.9,106.4,73.8,Pass,1.0,Brooke Chaplen,Reading WFC,106.4,73.8,106.4,73.8,Ball Receipt*,1.0,Kristine Leine,Reading WFC,106.4,73.8,113.3,74.3,Carry,1.0,Kristine Leine,Reading WFC,113.3,74.3,110.8,36.3,Pass,1.0,Kristine Leine,Reading WFC,110.8,36.3,110.8,36.3,Ball Receipt*,1.0,Amalie Vevle Eikeland,Reading WFC,111.5,32.7,120.0,39.5,Shot,0.0,Amalie Vevle Eikeland,2275075,00106b0e-a53d-4692-8232-b7b43e688280,0.085055396
Reading WFC,96.5,75.1,96.5,75.1,Ball Receipt*,1.0,Amalie Vevle Eikeland,Reading WFC,96.5,75.1,107.8,72.8,Carry,1.0,Amalie Vevle Eikeland,Brighton & Hove Albion WFC,107.7,72.7,107.7,72.7,Dribbled Past,0.0,Felicity Gibbons,Reading WFC,107.8,72.8,107.8,72.8,Dribble,1.0,Amalie Vevle Eikeland,Reading WFC,107.8,72.8,116.9,66.6,Carry,1.0,Amalie Vevle Eikeland,Brighton & Hove Albion WFC,108.9,69.2,108.9,69.2,Pressure,1.0,Felicity Gibbons,Reading WFC,116.9,66.6,115.6,42.9,Pass,0.0,Amalie Vevle Eikeland,Brighton & Hove Albion WFC,115.5,42.8,115.5,42.8,Clearance,1.0,Victoria Williams,Brighton & Hove Albion WFC,110.0,44.6,110.0,44.6,Block,0.0,Aileen Whelan,Reading WFC,105.0,45.6,105.0,45.6,Ball Recovery,1.0,Fara Williams,Reading WFC,104.5,49.2,117.4,40.1,Shot,0.0,Fara Williams,2275102,004f4b0b-2cdc-4fd1-84e2-6cb2cacf1a81,0.052784614
Reading WFC,115.2,23.799999999999997,104.7,23.4,Pass,1.0,Angharad James,Reading WFC,104.7,23.4,104.7,23.4,Ball Receipt*,1.0,Remi Allen,Reading WFC,104.7,23.4,104.7,23.4,Carry,1.0,Remi Allen,Reading WFC,104.7,23.4,101.3,20.0,Pass,0.0,Remi Allen,Reading WFC,97.9,16.6,97.9,16.6,Ball Receipt*,0.0,Amalie Vevle Eikeland,Brighton & Hove Albion WFC,101.4,20.1,101.4,20.1,Block,1.0,Aileen Whelan,Reading WFC,104.7,27.799999999999997,104.7,27.799999999999997,Clearance,1.0,Jade Moore,Reading WFC,75.5,31.6,75.5,31.6,Pressure,1.0,Fara Williams,Brighton & Hove Albion WFC,82.6,27.9,82.6,27.9,Ball Recovery,1.0,Léa Le Garrec,Brighton & Hove Albion WFC,82.6,27.9,86.9,35.1,Carry,1.0,Léa Le Garrec,Brighton & Hove Albion WFC,86.9,35.1,120.0,47.2,Shot,0.0,Léa Le Garrec,2275102,00549d0c-ee16-4931-a735-76599dbb4844,0.015532941
Everton LFC,112.3,13.400000000000006,112.3,13.400000000000006,Duel,0.0,Megan Finnigan,Reading WFC,120.0,0.1,116.5,36.2,Pass,0.0,Fara Williams,Everton LFC,116.4,36.1,116.4,36.1,Clearance,1.0,Esme Beth Morgan,Everton LFC,106.4,44.8,106.4,44.8,Ball Recovery,1.0,Simone Magill,Everton LFC,106.4,44.8,105.0,45.1,Carry,1.0,Simone Magill,Everton LFC,105.0,45.1,105.0,45.1,Miscontrol,0.0,Simone Magill,Reading WFC,104.4,42.5,104.4,42.5,Pressure,1.0,Rakel Hönnudóttir,Everton LFC,104.6,44.4,104.6,44.4,Ball Recovery,0.0,Megan Finnigan,Reading WFC,92.6,47.3,81.3,42.5,Pass,1.0,Rakel Hönnudóttir,Reading WFC,81.3,42.5,81.3,42.5,Ball Receipt*,1.0,Natasha Harding,Reading WFC,81.9,44.1,120.0,50.3,Shot,0.0,Natasha Harding,2275127,005a71c7-408e-46ef-a671-631f129a7cab,0.0074361395
Tottenham Hotspur Women,81.3,67.3,73.9,66.4,Carry,1.0,Angela Addison,Tottenham Hotspur Women,73.9,66.4,73.9,66.4,Miscontrol,0.0,Angela Addison,Everton LFC,66.4,62.4,66.4,62.4,Ball Recovery,1.0,Esme Beth Morgan,Everton LFC,66.4,62.4,66.4,62.4,Carry,1.0,Esme Beth Morgan,Tottenham Hotspur Women,66.3,62.3,66.3,62.3,Dribbled Past,0.0,Angela Addison,Everton LFC,66.4,62.4,66.4,62.4,Dribble,1.0,Esme Beth Morgan,Everton LFC,66.4,62.4,77.6,57.2,Carry,1.0,Esme Beth Morgan,Everton LFC,77.6,57.2,90.8,38.8,Pass,1.0,Esme Beth Morgan,Everton LFC,90.8,38.8,90.8,38.8,Ball Receipt*,1.0,Chloe Kelly,Everton LFC,90.8,38.8,91.4,40.0,Carry,1.0,Chloe Kelly,Everton LFC,91.4,40.0,120.0,33.0,Shot,0.0,Chloe Kelly,2275073,005c75d2-08cc-40fd-a832-806cc070f028,0.032612093
Chelsea FCW,52.7,29.2,52.0,28.0,Carry,1.0,Sophie Louise Ingle,Chelsea FCW,52.0,28.0,37.8,45.6,Pass,1.0,Sophie Louise Ingle,Chelsea FCW,37.8,45.6,37.8,45.6,Ball Receipt*,1.0,Millie Bright,Chelsea FCW,37.8,45.6,39.8,48.2,Carry,1.0,Millie Bright,Chelsea FCW,39.8,48.2,90.8,3.0,Pass,1.0,Millie Bright,Chelsea FCW,90.8,3.0,90.8,3.0,Ball Receipt*,1.0,Erin Cuthbert,Chelsea FCW,90.8,3.0,111.4,15.4,Carry,1.0,Erin Cuthbert,Bristol City WFC,109.8,19.5,109.8,19.5,Pressure,1.0,Frankie Brown,Chelsea FCW,111.4,15.4,110.3,34.5,Pass,1.0,Erin Cuthbert,Chelsea FCW,110.3,34.5,110.3,34.5,Ball Receipt*,1.0,Francesca Kirby,Chelsea FCW,111.6,31.1,118.8,37.0,Shot,0.0,Francesca Kirby,2275108,00669e48-bf79-42f9-88cd-dce5dd0208c7,0.12378701
Manchester City WFC,73.8,17.5,73.8,17.5,Ball Receipt*,1.0,Georgia Stanway,Manchester City WFC,73.8,17.5,73.0,25.8,Carry,1.0,Georgia Stanway,Manchester City WFC,73.0,25.8,95.6,71.7,Pass,1.0,Georgia Stanway,Manchester City WFC,95.6,71.7,95.6,71.7,Ball Receipt*,1.0,Janine Elizabeth Beckie,Manchester City WFC,95.6,71.7,100.5,68.6,Carry,1.0,Janine Elizabeth Beckie,Manchester City WFC,100.5,68.6,113.1,39.0,Pass,0.0,Janine Elizabeth Beckie,Manchester City WFC,111.1,37.3,111.1,37.3,Ball Receipt*,0.0,Tessa Wullaert,Liverpool WFC,113.0,38.9,113.0,38.9,Clearance,1.0,Sophie Elizabeth Bradley-Auckland,Manchester City WFC,116.6,50.2,116.6,50.2,Ball Recovery,1.0,Jill Scott,Liverpool WFC,115.1,52.1,115.1,52.1,Duel,0.0,Jade Bailey,Manchester City WFC,115.2,52.2,117.8,43.6,Shot,0.0,Jill Scott,2275116,0112502a-470d-41ce-8cc9-3b9697770f56,0.025584767
Birmingham City WFC,115.6,1.4,115.6,1.4,Dispossessed,0.0,Adrienne Jordan,Brighton & Hove Albion WFC,115.5,1.2999999999999972,115.5,1.2999999999999972,Duel,0.0,Matilde Lundorf Skovsen,Birmingham City WFC,117.3,2.8,117.3,2.8,Ball Recovery,1.0,Adrienne Jordan,Birmingham City WFC,117.3,2.8,118.2,8.7,Carry,1.0,Adrienne Jordan,Brighton & Hove Albion WFC,118.1,4.799999999999997,118.1,4.799999999999997,Pressure,1.0,Matilde Lundorf Skovsen,Birmingham City WFC,118.2,8.7,118.4,27.2,Pass,0.0,Adrienne Jordan,Birmingham City WFC,117.0,27.6,117.0,27.6,Ball Receipt*,0.0,Lucy Whipp,Brighton & Hove Albion WFC,118.3,27.1,118.3,27.1,Clearance,1.0,Maya Le Tissier,Birmingham City WFC,106.2,8.7,106.2,8.7,Ball Recovery,1.0,Brianna Visalli,Birmingham City WFC,106.2,8.7,104.8,13.6,Carry,1.0,Brianna Visalli,Birmingham City WFC,104.8,13.6,120.0,35.4,Shot,0.0,Brianna Visalli,2275065,011df429-3f23-44be-9777-081d6d0ee55d,0.0064266743
Reading WFC,105.0,45.6,105.0,45.6,Ball Recovery,1.0,Fara Williams,Reading WFC,104.5,49.2,117.4,40.1,Shot,0.0,Fara Williams,Brighton & Hove Albion WFC,118.6,40.8,118.6,40.8,Goal Keeper,0.0,Megan Walsh,Reading WFC,120.0,0.1,116.5,32.5,Pass,1.0,Brooke Chaplen,Reading WFC,116.5,32.5,116.5,32.5,Ball Receipt*,1.0,Sophie Howard,Brighton & Hove Albion WFC,116.4,32.4,116.4,32.4,Duel,0.0,Kate Natkiel,Reading WFC,116.5,32.5,116.5,32.5,Miscontrol,0.0,Sophie Howard,Brighton & Hove Albion WFC,109.7,33.5,109.7,33.5,Pressure,1.0,Danielle Buet,Reading WFC,104.7,34.5,111.0,39.6,Pass,1.0,Remi Allen,Reading WFC,111.0,39.6,111.0,39.6,Ball Receipt*,1.0,Millie Laura Farrow,Reading WFC,112.4,40.4,120.0,46.8,Shot,0.0,Millie Laura Farrow,2275102,011f4840-f338-4a15-80ef-d12f9c4ce128,0.16726427
